ファイル名,ファイル容量,年度,測地系,地域
A29-11_01_GML.zip,2.85MB,平成23年,世界測地系,北海道
A29-11_02_GML.zip,0.91MB,平成23年,世界測地系,青森
A29-11_03_GML.zip,1.38MB,平成23年,世界測地系,岩手
A29-11_04_GML.zip,1.34MB,平成23年,世界測地系,宮城
A29-11_05_GML.zip,0.76MB,平成23年,世界測地系,秋田
A29-11_06_GML.zip,0.72MB,平成23年,世界測地系,山形
A29-11_07_GML.zip,1.53MB,平成23年,世界測地系,福島
A29-11_08_GML.zip,2.13MB,平成23年,世界測地系,茨城
A29-11_09_GML.zip,0.88MB,平成23年,世界測地系,栃木
A29-11_10_GML.zip,1.18MB,平成23年,世界測地系,群馬
A29-11_11_GML.zip,2.60MB,平成23年,世界測地系,埼玉
A29-11_12_GML.zip,3.09MB,平成23年,世界測地系,千葉
A29-11_13_GML.zip,6.51MB,平成23年,世界測地系,東京
A29-11_14_GML.zip,5.30MB,平成23年,世界測地系,神奈川
A29-11_15_GML.zip,1.16MB,平成23年,世界測地系,新潟
A29-11_16_GML.zip,0.61MB,平成23年,世界測地系,富山
A29-11_17_GML.zip,0.69MB,平成23年,世界測地系,石川
A29-11_18_GML.zip,0.51MB,平成23年,世界測地系,福井
A29-11_19_GML.zip,0.43MB,平成23年,世界測地系,山梨
A29-11_20_GML.zip,1.84MB,平成23年,世界測地系,長野
A29-11_21_GML.zip,1.69MB,平成23年,世界測地系,岐阜
A29-11_22_GML.zip,2.20MB,平成23年,世界測地系,静岡
A29-11_23_GML.zip,3.22MB,平成23年,世界測地系,愛知
A29-11_24_GML.zip,1.15MB,平成23年,世界測地系,三重
A29-11_25_GML.zip,0.94MB,平成23年,世界測地系,滋賀
A29-11_26_GML.zip,1.55MB,平成23年,世界測地系,京都
A29-11_27_GML.zip,3.77MB,平成23年,世界測地系,大阪
A29-11_28_GML.zip,3.08MB,平成23年,世界測地系,兵庫
A29-11_29_GML.zip,1.40MB,平成23年,世界測地系,奈良
A29-11_30_GML.zip,0.86MB,平成23年,世界測地系,和歌山
A29-11_31_GML.zip,0.24MB,平成23年,世界測地系,鳥取
A29-11_32_GML.zip,0.74MB,平成23年,世界測地系,島根
A29-11_33_GML.zip,1.42MB,平成23年,世界測地系,岡山
A29-11_34_GML.zip,3.21MB,平成23年,世界測地系,広島
A29-11_35_GML.zip,2.16MB,平成23年,世界測地系,山口
A29-11_36_GML.zip,0.42MB,平成23年,世界測地系,徳島
A29-11_37_GML.zip,0.40MB,平成23年,世界測地系,香川
A29-11_38_GML.zip,0.97MB,平成23年,世界測地系,愛媛
A29-11_39_GML.zip,0.40MB,平成23年,世界測地系,高知
A29-11_40_GML.zip,3.45MB,平成23年,世界測地系,福岡
A29-11_41_GML.zip,0.49MB,平成23年,世界測地系,佐賀
A29-11_42_GML.zip,1.36MB,平成23年,世界測地系,長崎
A29-11_43_GML.zip,1.13MB,平成23年,世界測地系,熊本
A29-11_44_GML.zip,1.23MB,平成23年,世界測地系,大分
A29-11_45_GML.zip,0.92MB,平成23年,世界測地系,宮崎
A29-11_46_GML.zip,1.46MB,平成23年,世界測地系,鹿児島
A29-11_47_GML.zip,0.91MB,平成23年,世界測地系,沖縄
